
2024/11/15 (19:55:02) | ===> btop++ v.1.3.0
2024/11/15 (19:55:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (08:40:20) | ===> btop++ v.1.3.0
2024/11/16 (08:40:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/17 (00:04:34) | ===> btop++ v.1.3.0
2024/11/17 (00:04:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/23 (10:22:18) | ===> btop++ v.1.3.0
2024/11/23 (10:22:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/23 (10:24:40) | ===> btop++ v.1.3.0
2024/11/23 (10:24:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/30 (16:19:21) | ===> btop++ v.1.3.0
2024/11/30 (16:19:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/30 (21:44:12) | ===> btop++ v.1.3.0
2024/11/30 (21:44:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/01 (21:03:45) | ===> btop++ v.1.3.0
2024/12/01 (21:03:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/01 (22:38:55) | ===> btop++ v.1.3.0
2024/12/01 (22:38:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/07 (15:20:26) | ===> btop++ v.1.3.0
2024/12/07 (15:20:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/07 (15:46:00) | ===> btop++ v.1.3.0
2024/12/07 (15:46:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/10 (07:34:19) | ===> btop++ v.1.3.0
2024/12/10 (07:34:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/21 (01:39:17) | ===> btop++ v.1.3.0
2024/12/21 (01:39:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
